Date,Symbol,Nominal price,Open,High,Low,Mkt cap,P/E ratio,Div yield,Prev close,52-wk high,52-wk low
2018-06-14,0101,17.30,17.30,17.68,17.20,78.51B,9.58,4.34%,17.60,21.65,17.08
2018-06-14,1038,59.10,59.35,59.60,59.00,157.05B,14.52,4.03%,59.35,73.80,58.70
2018-06-14,1044,78.00,77.40,78.45,77.05,91.89B,20.45,3.26%,77.50,88.70,52.80
2018-06-14,1088,21.15,21.15,21.60,20.90,-,7.29,5.35%,21.05,25.75,16.38
2018-06-14,1093,24.60,24.75,25.05,24.30,146.09B,49.23,0.61%,24.95,26.75,10.94
2018-06-14,1109,28.95,30.10,30.15,28.80,198.11B,8.72,3.34%,30.05,34.45,21.05
2018-06-14,1113,65.65,65.65,66.35,65.30,240.38B,8.13,2.59%,66.20,75.30,58.75
2018-06-14,0011,197.90,198.10,199.50,197.30,379.85B,19.21,3.44%,199.10,204.20,159.00
2018-06-14,1299,70.15,71.00,71.45,70.00,854.23B,17.59,1.43%,71.15,75.00,54.50
2018-06-14,0012,44.05,44.70,44.70,44.05,177.22B,6.37,3.53%,44.70,50.91,39.05
2018-06-14,1398,6.38,6.39,6.44,6.34,-,6.50,4.72%,6.44,7.64,4.83
2018-06-14,0144,17.18,17.32,17.36,17.18,56.50B,9.30,4.71%,17.28,27.40,16.96
2018-06-14,0151,7.73,7.80,7.89,7.73,96.11B,-,1.57%,7.85,8.18,5.00
2018-06-14,0016,123.20,124.50,125.40,123.20,356.91B,6.59,3.41%,124.90,139.60,113.50
2018-06-14,0175,23.45,23.80,23.90,23.20,209.65B,16.48,1.24%,23.85,29.80,13.94
2018-06-14,0017,11.86,11.98,12.14,11.82,121.52B,7.98,3.96%,12.02,13.00,9.74
2018-06-14,1928,45.25,45.30,45.80,45.00,364.43B,29.04,4.40%,45.00,49.35,33.80
2018-06-14,1997,59.45,60.50,60.70,59.45,179.61B,10.48,1.60%,60.00,65.15,46.55
2018-06-14,0019,83.00,83.15,83.60,82.80,116.49B,4.85,2.53%,83.15,83.80,71.85
2018-06-14,0001,88.30,88.90,89.60,88.00,337.47B,9.70,3.23%,89.50,108.90,87.10
2018-06-14,2007,16.14,16.62,16.64,16.00,348.39B,10.70,3.00%,16.42,19.16,8.37
2018-06-14,2018,119.40,121.00,121.00,118.20,147.17B,22.10,1.76%,121.60,185.00,94.05
2018-06-14,2318,79.05,78.70,80.40,78.50,-,12.55,2.30%,78.55,98.85,49.90
2018-06-14,2319,27.90,29.30,29.30,27.80,105.71B,43.29,0.53%,29.30,30.20,14.50
2018-06-14,2382,165.70,169.00,170.50,164.20,178.31B,50.94,0.49%,168.60,174.90,63.90
2018-06-14,2388,39.80,40.00,40.00,39.50,420.80B,14.77,3.27%,39.85,42.15,34.30
2018-06-14,0023,32.00,32.00,32.35,31.75,90.26B,19.01,4.00%,32.15,36.00,30.55
2018-06-14,2628,22.25,22.35,22.65,22.10,-,15.90,2.20%,22.35,28.20,21.10
2018-06-14,0267,11.62,11.60,11.74,11.54,339.17B,7.70,3.10%,11.72,12.80,10.70
2018-06-14,0027,64.85,64.80,65.90,64.65,277.30B,26.61,-,65.50,73.85,43.90
2018-06-14,0288,6.96,7.15,7.16,6.94,105.11B,11.63,3.88%,7.19,9.90,6.94
2018-06-14,0002,81.25,82.10,82.10,81.05,205.53B,14.41,3.61%,81.55,84.95,75.05
2018-06-14,3328,6.34,6.29,6.37,6.29,-,5.68,5.62%,6.34,7.13,5.47
2018-06-14,0386,7.28,7.55,7.55,7.20,-,-,4.10%,7.44,8.35,5.40
2018-06-14,0388,255.60,256.00,258.20,254.00,319.41B,38.25,2.11%,257.60,306.00,197.60
2018-06-14,3988,4.11,4.13,4.15,4.10,-,7.28,4.28%,4.13,4.96,3.57
2018-06-14,0003,14.86,15.00,15.02,14.80,209.77B,27.80,2.14%,15.00,15.80,13.09
2018-06-14,0005,76.40,76.70,76.80,76.15,-,18.13,5.20%,76.65,86.00,67.55
2018-06-14,0066,43.60,44.00,44.10,43.30,260.54B,15.46,2.57%,44.05,46.80,40.55
2018-06-14,0688,28.50,29.20,29.20,28.35,307.43B,7.66,2.81%,28.85,32.20,22.50
2018-06-14,0006,55.30,55.50,56.00,55.10,117.39B,14.19,5.06%,55.95,78.80,54.00
2018-06-14,0700,412.00,417.60,417.60,408.60,3.93T,39.95,0.21%,415.20,476.60,260.40
2018-06-14,0762,10.10,10.04,10.20,10.00,307.24B,48.07,0.63%,10.18,13.24,9.20
2018-06-14,0823,71.40,70.75,71.80,70.75,154.57B,3.28,3.50%,71.05,75.00,58.00
2018-06-14,0836,15.94,16.02,16.12,15.88,75.26B,16.47,5.49%,16.02,16.48,12.82
2018-06-14,0083,13.36,13.60,13.74,13.32,88.34B,5.89,3.97%,13.66,15.06,12.44
2018-06-14,0857,6.12,6.27,6.29,6.05,-,39.27,2.12%,6.27,6.74,4.72
2018-06-14,0883,13.08,13.26,13.58,12.96,574.58B,19.30,3.82%,13.38,14.64,8.45
2018-06-14,0939,7.87,7.90,7.94,7.85,-,6.53,4.62%,7.96,9.39,5.91
2018-06-14,0941,70.45,70.65,70.85,70.10,1.44T,10.30,4.55%,70.85,89.60,69.60
